game;addedTime;id;incidentClass;incidentType;isHome;player;reason;time
SWA X STO 2015-05-02;;118303548;yellow;card;True;{'name': 'Àngel Rangel', 'slug': 'angel-rangel', 'shortName': 'À. Rangel', 'position': 'D', 'userCount': 42, 'id': 27463};Foul;73
SWA X STO 2015-05-02;;118303539;yellow;card;False;{'name': 'Marc Wilson', 'slug': 'marc-wilson', 'shortName': 'M. Wilson', 'position': 'M', 'userCount': 8, 'id': 9104};Foul;62
SWA X STO 2015-05-02;;118303532;yellow;card;False;{'name': 'Marko Arnautović', 'slug': 'marko-arnautovic', 'shortName': 'M. Arnautović', 'position': 'F', 'userCount': 2472, 'id': 21927};Foul;59
WES X BUR 2015-05-02;3.0;118303586;yellow;card;False;{'name': 'Ben Mee', 'slug': 'ben-mee', 'shortName': 'B. Mee', 'position': 'D', 'userCount': 309, 'id': 137774};Foul;90
WES X BUR 2015-05-02;;118303577;yellow;card;False;{'name': 'Ross Wallace', 'slug': 'ross-wallace', 'shortName': 'R. Wallace', 'position': 'M', 'userCount': 21, 'id': 9046};Off the ball foul;84
WES X BUR 2015-05-02;;118303536;yellow;card;True;{'name': 'Stewart Downing', 'slug': 'stewart-downing', 'shortName': 'S. Downing', 'position': 'M', 'userCount': 61, 'id': 816};Simulation;60
WES X BUR 2015-05-02;;118303359;yellow;card;True;{'name': 'Mark Noble', 'slug': 'mark-noble', 'shortName': 'M. Noble', 'position': 'M', 'userCount': 457, 'id': 9741};Handball;44
WES X BUR 2015-05-02;;118303351;yellow;card;True;{'name': 'Enner Valencia', 'slug': 'enner-valencia', 'shortName': 'E. Valencia', 'position': 'F', 'userCount': 554, 'id': 106456};Foul;41
WES X BUR 2015-05-02;;118303321;red;card;False;{'name': 'Michael Duff', 'slug': 'michael-duff', 'shortName': 'M. Duff', 'position': 'D', 'userCount': 3, 'id': 9884};Professional foul;23
MUN X WBA 2015-05-02;;118303938;yellow;card;True;{'name': 'Paddy McNair', 'slug': 'paddy-mcnair', 'shortName': 'P. McNair', 'position': 'M', 'userCount': 156, 'id': 592876};Foul;62
CHE X CRY 2015-05-03;2.0;118304565;yellow;card;False;{'name': 'Adrian Mariappa', 'slug': 'adrian-mariappa', 'shortName': 'A. Mariappa', 'position': 'D', 'userCount': 193, 'id': 10597};Foul;45
CHE X CRY 2015-05-03;;118304542;yellow;card;True;{'name': 'John Terry', 'slug': 'john-terry', 'shortName': 'J. Terry', 'position': 'D', 'userCount': 741, 'id': 1205};Foul;38
CHE X CRY 2015-05-03;;118304528;yellow;card;True;{'name': 'Branislav Ivanović', 'slug': 'branislav-ivanovic', 'shortName': 'B. Ivanović', 'position': 'D', 'userCount': 887, 'id': 25233};Foul;27
CHE X CRY 2015-05-03;;118304522;yellow;card;False;{'name': 'Scott Dann', 'slug': 'scott-dann', 'shortName': 'S. Dann', 'position': 'D', 'userCount': 94, 'id': 20278};Foul;23
TOT X MCI 2015-05-03;5.0;118305045;yellow;card;True;{'name': 'Harry Kane', 'slug': 'harry-kane', 'shortName': 'H. Kane', 'position': 'F', 'userCount': 48930, 'id': 108579};Off the ball foul;90
TOT X MCI 2015-05-03;;118305000;yellow;card;False;{'name': 'David Silva', 'slug': 'david-silva', 'shortName': 'D. Silva', 'position': 'M', 'userCount': 8076, 'id': 11781};Foul;82
TOT X MCI 2015-05-03;;118304979;yellow;card;False;{'name': 'Aleksandar Kolarov', 'slug': 'aleksandar-kolarov', 'shortName': 'A. Kolarov', 'position': 'D', 'userCount': 3428, 'id': 26097};Foul;74
TOT X MCI 2015-05-03;;118304968;yellow;card;False;{'name': 'Pablo Zabaleta', 'slug': 'pablo-zabaleta', 'shortName': 'P. Zabaleta', 'position': 'D', 'userCount': 571, 'id': 11796};Foul;68
TOT X MCI 2015-05-03;1.0;118304887;yellow;card;True;{'name': 'Ryan Mason', 'slug': 'ryan-mason', 'shortName': 'R. Mason', 'position': 'M', 'userCount': 38, 'id': 44567};Foul;45
TOT X MCI 2015-05-03;;118304885;yellow;card;True;{'name': 'Nabil Bentaleb', 'slug': 'nabil-bentaleb', 'shortName': 'N. Bentaleb', 'position': 'M', 'userCount': 4096, 'id': 368120};Off the ball foul;42
TOT X MCI 2015-05-03;;118304849;yellow;card;False;{'name': 'James Milner', 'slug': 'james-milner', 'shortName': 'J. Milner', 'position': 'M', 'userCount': 4415, 'id': 791};Foul;41
HUL X ARS 2015-05-04;;118305731;yellow;card;True;"{'name': ""Dame N'Doye"", 'slug': 'dame-ndoye', 'shortName': ""D. N'Doye"", 'position': 'F', 'userCount': 468, 'id': 30178}";Foul;30
HUL X ARS 2015-05-04;;118305727;yellow;card;True;{'name': 'Jake Livermore', 'slug': 'jake-livermore', 'shortName': 'J. Livermore', 'position': 'M', 'userCount': 96, 'id': 34578};Foul;23
