game;addedTime;confirmed;id;incidentClass;incidentType;isHome;player;time
BGN X HEL 19-01-2020;;False;1597;penaltyAwarded;varDecision;True;{'name': 'Federico Santander', 'slug': 'federico-santander', 'shortName': 'F. Santander', 'position': 'F', 'userCount': 559, 'id': 46972};48
LEC X INT 19-01-2020;3.0;False;1596;penaltyAwarded;varDecision;True;{'name': 'Khouma Babacar', 'slug': 'khouma-babacar', 'shortName': 'K. Babacar', 'position': 'F', 'userCount': 701, 'id': 88697};45
LEC X INT 19-01-2020;;True;1595;cardUpgrade;varDecision;True;{'name': 'Giulio Donati', 'slug': 'giulio-donati', 'shortName': 'G. Donati', 'position': 'D', 'userCount': 104, 'id': 103156};21
SPA X BGN 25-01-2020;;False;1647;penaltyAwarded;varDecision;False;{'name': 'Federico Santander', 'slug': 'federico-santander', 'shortName': 'F. Santander', 'position': 'F', 'userCount': 559, 'id': 46972};28
SPA X BGN 25-01-2020;;False;1646;penaltyNotAwarded;varDecision;True;{'name': 'Federico Di Francesco', 'slug': 'federico-di-francesco', 'shortName': 'F. D. Francesco', 'position': 'F', 'userCount': 634, 'id': 320979};21
ROM X LAZ 26-01-2020;;False;1675;penaltyAwarded;varDecision;True;{'name': 'Justin Kluivert', 'slug': 'justin-kluivert', 'shortName': 'J. Kluivert', 'position': 'M', 'userCount': 4369, 'id': 851596};51
CAG X PRM 01-02-2020;;False;1729;penaltyAwarded;varDecision;False;{'name': 'Juraj Kucka', 'slug': 'juraj-kucka', 'shortName': 'J. Kucka', 'position': 'M', 'userCount': 1036, 'id': 48563};60
JUV X FIO 02-02-2020;;True;1744;penaltyAwarded;varDecision;True;{'name': 'Rodrigo Bentancur', 'slug': 'bentancur-rodrigo', 'shortName': 'R. Bentancur', 'position': 'M', 'userCount': 4959, 'id': 791190};78
JUV X FIO 02-02-2020;;False;1742;penaltyNotAwarded;varDecision;True;{'name': 'Miralem Pjanić', 'slug': 'miralem-pjanic', 'shortName': 'M. Pjanić', 'position': 'M', 'userCount': 10548, 'id': 27678};38
MIL X HEL 02-02-2020;;False;1749;cardUpgrade;varDecision;False;{'name': 'Sofyan Amrabat', 'slug': 'sofyan-amrabat', 'shortName': 'S. Amrabat', 'position': 'M', 'userCount': 1899, 'id': 359272};67
SAM X NAP 03-02-2020;;False;1768;penaltyNotAwarded;varDecision;True;{'name': 'Fabio Quagliarella', 'slug': 'fabio-quagliarella', 'shortName': 'F. Quagliarella', 'position': 'F', 'userCount': 2931, 'id': 11621};70
SAM X NAP 03-02-2020;;False;1767;goalAwarded;varDecision;True;{'name': 'Gastón Ramírez', 'slug': 'gaston-ramirez', 'shortName': 'G. Ramírez', 'position': 'M', 'userCount': 746, 'id': 135590};57
HEL X JUV 08-02-2020;;False;1820;penaltyNotAwarded;varDecision;True;{'name': 'Marash Kumbulla', 'slug': 'marash-kumbulla', 'shortName': 'M. Kumbulla', 'position': 'D', 'userCount': 1127, 'id': 893642};85
