game;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5
SCP X KAI 12-02-2016;1;-41;-27;-16;-10;-1;5;-6;-31;40;32;1;13;3;-21.0;-87;-53;-1;1;1;12;12;1;-60;-21.0;-2;-6;-3;2;-80.0;-52;36.0;8;41;-10;3;-5;-3;6;2;;-5;21;11;6;25;5;54;31;19;12;18;3;-74;-41;-24;49;-19;32;83;50;35;22;11;-10;-4;-2;34;41;23;15;14;8;2;41;-25;-74;-44;20;-25;-27;-14;-7;-4;-2;1;31;23;54;-71;32;
HEI X SAN 13-02-2016;1;-11;-35;-21;15;5;3;8;34;14;7;1;24;83;46.0;22;13;5;5;1;-6;-33;1;80;69.0;66;49;36;15;-31.0;-11;10.0;5;1;7;26;14;7;-6;-1;;-2;5;-6;10;1;-11;-3;-3;-1;-7;-4;5;-61;-15;40;16;37;1;-31;-16;-13;-9;5;6;43;80;15;17;4;-6;-5;-22;-6;-4;5;1;1;13;-1;-1;-1;-6;-24;-89;-48;-29;-27;-20;7;-6;-40.0
DUI X KAR 13-02-2016;-1;-2;-32;-20;-13;-4;4;36;50;33;18;-75;9;6;-2.0;4;1;-1;-5;-14;-4;5;-49;-6;5.0;1;-6;-4;-3;30.0;15;3.0;-46;-31;45;-31;-13;40;51;21;;14;3;-26;-38;-24;-27;-66;-39;-16;50;24;-31;-7;-5;10;-21;1;-51;30;5;7;9;13;9;-11;5;-3;39;17;-11;-6;30;16;9;-46;-18;-19;-2;20;33;12;1;-11;10;-1;-1;-5;10;-3;27;-20.0
UNB X MUN 14-02-2016;5;97;22;13;-30;-22;-16;-2;-6;-6;6;2;-5;-7;46.0;25;14;9;-55;-32;-13;-12;1;-7;-60.0;-30;-23;-18;-40;31.0;7;5.0;-5;-6;2;-4;-7;-43;-19;-10;-15.0;1;6;39;100;-2;63;38;-30;-10;-12;16;36;24;35;17;76;10;49;-30;1;-5;6;1;-20;-54;-25;43;-9;-5;-5;21;-20;-3;-1;1;1;-60;31;76;24;15;4;7;1;6;3;98;88;79;53;0.0
EBR X ARM 14-02-2016;1;6;-3;-1;-10;-44;-26;-15;-8;-9;-6;1;6;1;6.0;-30;-43;-25;-14;-13;-5;1;1;1;1.0;6;4;8;5;4.0;27;17.0;40;5;24;15;17;11;10;6;;4;4;4;24;3;16;7;6;25;65;46;34;22;14;6;77;35;-38;-12;-9;-7;-8;4;-2;59;32;41;-42;-15;-40;-30;-20;-10;-18;-10;-65;-38;-30;-37;36;8;60;36;37;20;22;10;11;-2;55;-35.0
SCF X DUS 14-02-2016;1;10;-6;5;-41;-17;61;5;8;13;-35;4;-10;6;1.0;66;43;45;22;-74;62;12;7;7;40.0;25;16;10;37;15.0;15;4.0;8;3;13;14;14;14;44;31;75.0;1;-5;-41;-44;1;-20;-6;-3;16;16;35;11;12;1;-3;-41;-15;-1;8;1;3;5;-3;3;3;9;-24;-68;-34;-23;-6;-7;8;7;6;10;9;-15;12;19;33;51;53;33;31;49;28;16;-9;11;-5.0
NUR X BOC 15-02-2016;1;14;8;5;1;-5;-1;1;-4;-62;-31;1;-18;31;7.0;9;10;11;5;9;-5;1;1;1;-5.0;-2;5;-40;-22;-13.0;40;18.0;-35;-39;-12;20;4;2;14;13;;6;53;32;-42;-26;-15;-15;-14;-4;28;20;16;48;47;29;-10;20;35;11;4;-2;8;2;-77;54;9;-5;3;20;-32;-11;-1;66;100;100;69;46;36;57;23;16;15;13;6;94;61;41;25;22;10;-80.0
STP X FSV 19-02-2016;-6;93;-77;-14;99;66;60;40;22;-22;-27;-33;-15;29;9.0;75;34;23;10;-22;-16;-5;-14;-10;-7.0;-100;-77;-48;-34;-20.0;-43;-65.0;-18;-4;60;29;20;-20;-9;-10;35.0;-5;-2;-1;5;5;3;9;7;5;-94;-52;-24;-8;42;30;6;14;9;6;-24;-6;37;25;16;53;42;10;29;18;27;9;-79;-42;-28;-21;-6;18;5;12;7;4;7;8;-10;-3;20;5;-5;1;20;45.0
RBL X UNB 19-02-2016;1;23;10;-14;32;91;54;33;22;12;-4;-5;2;-4;-22.0;-12;-6;-3;76;40;24;15;-2;14;8.0;1;1;-5;-2;6.0;38;33.0;55;-5;33;60;38;16;7;4;;5;2;6;3;-8;2;-1;-1;75;44;32;40;30;19;8;-13;7;5;5;10;18;13;15;16;41;26;-11;18;7;6;-38;-19;-17;-16;29;7;47;-5;17;4;-7;-42;-22;-11;-5;-1;2;-29;7;-20;
FUR X DUI 19-02-2016;-1;2;40;23;13;1;-21;-35;-1;40;17;-1;11;68;39.0;20;12;7;-30;-18;-10;-6;30;-39;-16.0;-9;7;7;14;20.0;18;4.0;-7;16;4;-32;-21;-33;-15;-11;-5.0;-2;-9;-84;-54;9;-36;-25;-6;5;11;40;37;24;12;8;5;4;9;22;20;14;10;23;89;55;55;7;50;30;-18;52;58;35;22;21;50;34;1;27;22;9;14;14;54;33;22;43;31;5;21;50.0
KAI X HEI 20-02-2016;-1;7;39;19;16;4;-5;-48;-27;-16;-3;-5;-6;6;8.0;50;30;13;8;-20;-21;-7;-3;-3;-1.0;5;-31;-6;15;6.0;3;4.0;1;-2;-1;-5;-3;-2;5;2;-75.0;-1;-20;-12;-7;-1;-7;-8;-41;-100;-72;82;54;36;61;27;1;16;9;11;11;8;16;70;73;44;27;1;17;7;3;7;79;48;29;17;15;-60;1;-32;21;6;3;57;34;24;14;9;7;11;-75;-60.0
KAR X EBR 20-02-2016;1;-2;49;26;14;12;6;-7;-4;4;-2;-30;4;1;-2.0;-76;-46;-29;-23;-10;-1;-2;39;74;42.0;23;-22;24;-11;-12.0;-12;-1.0;-3;-37;-6;-8;-4;5;40;34;20.0;-1;-20;-87;-32;-10;-19;-12;-6;21;15;3;1;-1;-1;-31;-7;-23;-29;-48;30;-46;-25;75;37;14;11;-3;-61;-72;-43;-26;-15;-10;-4;-2;5;1;-6;-6;39;20;20;16;4;34;-26;-5;4;-2;-1;-70.0
MUN X BOC 21-02-2016;-1;-15;-16;-12;-13;-10;-21;-12;-2;-1;-1;-1;20;11;6.0;-31;-11;25;9;5;4;2;-1;-6;50.0;21;12;7;4;95.0;55;-46.0;-7;-5;-1;9;-2;-2;-2;-77;-50.0;-2;-2;-3;-3;-3;4;-22;-9;-4;-31;-17;-7;-23;-73;-10;-10;12;-4;1;-44;-44;-26;-9;42;20;19;-13;17;11;24;15;10;-29;42;20;13;13;-31;11;-19;-39;-24;-15;-84;-4;20;36;21;-20;-1;-30.0
ARM X SCP 21-02-2016;1;10;5;-41;-25;-15;-4;-3;-1;-1;-1;-51;-1;-1;-5.0;-8;-5;-2;1;5;4;-10;-25;-77;-45.0;-26;-15;-12;6;3.0;32;20.0;13;-10;13;8;3;7;-5;-4;;-1;-3;3;3;-6;5;6;6;11;39;26;18;8;12;7;5;2;9;83;52;38;21;12;7;5;-9;8;-12;46;23;4;4;4;21;17;12;8;39;35;20;7;-4;-4;-33;-18;-9;-9;-39;17;-10;-20.0
SAN X SCF 21-02-2016;1;-21;-8;30;17;15;8;-6;30;15;8;-1;9;40;20.0;11;11;5;-1;-6;-53;35;5;5;-6.0;-1;-41;-50;-51;-35.0;-56;-31.0;-17;-6;-9;-10;-4;5;-6;-21;-30.0;-14;-55;-35;-24;-2;-22;-2;-79;-49;-28;-20;-21;-11;16;11;-6;3;48;25;-19;-2;-15;-6;-7;-7;-13;-64;6;-4;-1;-5;5;5;3;7;9;15;-44;8;-52;-29;-19;-64;-100;-23;-15;-15;-7;-36;9;25.0
DUS X NUR 22-02-2016;6;-20;-7;-9;-23;-14;-13;-8;5;-1;-1;3;-31;-18;-12.0;-12;-8;25;2;-1;-41;-4;11;35;27.0;20;14;81;50;28.0;15;8.0;-1;6;-6;-4;-3;5;-3;3;10.0;-3;-7;-1;-7;3;-12;-24;-10;-8;38;18;10;3;-3;33;1;16;67;33;17;-23;-10;-17;-11;-4;-3;-6;-9;-12;-4;-5;3;2;-3;-17;-17;-11;-34;-3;-8;-100;-67;-100;-81;-54;-26;-21;-34;-25;-19;-5.0
UNB X KAR 26-02-2016;-4;2;-2;-7;-5;-4;-8;-5;-33;30;5;2;42;24;21.0;54;42;26;20;14;7;11;2;9;7.0;-73;-33;-22;-16;-49.0;-23;-13.0;-7;-14;6;4;13;3;2;-40;75.0;1;1;-20;-15;-1;-9;-11;-2;-11;-1;-6;-13;-10;-6;-11;-4;-7;34;11;10;4;1;4;-1;-11;-11;-1;-2;-2;-6;-3;-7;5;-30;-23;-44;-26;2;-14;-3;-29;-18;-48;-1;-4;-3;-24;-14;-4;3;10.0
SCP X RBL 26-02-2016;5;-20;-9;-6;35;18;10;5;67;67;64;-6;42;69;66.0;46;30;16;1;-27;-37;-38;-7;-28;-17.0;-9;4;-2;29;16.0;8;3.0;-22;-9;-14;-14;-9;-11;-56;-7;0.0;-4;-4;-2;6;-6;2;7;14;8;4;3;-5;-2;-6;41;-44;15;-11;-46;-32;-100;-78;-71;-39;-23;-36;-21;-26;-74;-74;60;10;6;2;3;20;-11;-8;-1;4;2;4;3;1;50;34;19;16;-25;8;5.0
NUR X FUR 26-02-2016;1;-34;-45;41;6;-10;-6;-6;-11;-1;1;5;1;1;26.0;5;3;-5;6;1;1;9;-5;5;-6.0;-27;-12;-9;9;-6.0;4;1.0;-1;1;39;57;32;13;-36;-25;;-18;-12;-72;-36;1;26;-5;6;32;14;2;-30;-11;-3;26;1;15;51;30;18;9;11;4;27;-40;-43;-74;-25;-15;-5;0;1;1;40;18;6;8;-43;-5;30;21;13;7;79;40;28;21;8;-25;0;-10.0
MUN X DUS 27-02-2016;1;30;17;10;7;-6;-37;-17;-11;-8;4;80;1;-2;-16.0;-5;4;4;1;-2;34;38;52;96;56.0;32;-42;-26;-22;-19.0;-12;-5.0;4;35;-2;-7;-6;-35;-23;14;0.0;-2;1;76;45;20;27;12;7;-5;-2;1;-4;-2;-20;-6;11;-8;-28;-11;-9;6;1;-95;-59;-29;-17;-1;-9;-5;1;6;2;5;3;-76;-39;-23;40;-9;75;41;-36;40;-41;-18;-16;-7;10;27;8;-5.0
SCF X KAI 27-02-2016;-1;46;25;20;11;46;29;20;-33;-5;63;-1;55;95;100.0;53;26;12;31;9;-7;-2;39;-11;-40.0;-22;-7;6;6;16.0;25;18.0;14;25;11;9;13;-42;-46;-24;;-11;-3;39;53;22;29;15;7;4;-2;4;6;-6;-7;5;10;-1;-1;-1;-6;-9;-6;-4;-3;5;31;39;-31;-12;-8;-26;-18;-4;-7;-6;-4;-4;62;-4;-4;19;30;19;17;17;44;26;16;74;2;0.0
BOC X SAN 27-02-2016;1;5;80;41;87;53;34;6;6;3;2;6;28;94;58.0;31;20;7;8;5;-33;-15;25;-6;-2.0;-4;-3;3;-37;-18.0;-8;8.0;-2;47;5;6;6;6;66;37;;30;25;53;34;35;18;-42;-51;-30;38;14;10;-32;-9;-39;27;-19;-2;-2;4;3;-77;-16;39;16;8;53;24;11;4;-75;-46;-53;-25;-19;-5;71;27;47;33;20;38;13;-30;-32;-23;-20;31;15;44;90.0
HEI X ARM 28-02-2016;1;-20;-8;39;19;9;-7;4;-2;-3;-33;-5;-21;-19;-33.0;-31;-23;-15;-15;-14;-97;-52;39;-36;-20.0;-11;0;-5;5;1.0;0;0.0;20;19;6;4;2;-10;-11;25;;10;11;47;63;14;-75;-18;-11;10;40;100;63;41;42;-32;7;-17;-42;-26;74;34;34;21;11;-7;-4;-32;-30;-24;-10;-2;39;27;15;7;7;5;-20;-61;-100;-86;-57;-15;54;28;12;-31;-26;-13;-31;-90.0
EBR X FSV 28-02-2016;-1;-50;31;51;31;-30;11;8;31;19;34;-50;20;7;2.0;-5;-2;-5;-2;-5;-2;1;-35;1;-15.0;-1;12;7;5;-29.0;-13;-7.0;-8;-51;-3;62;67;46;28;33;;21;6;5;4;-29;2;7;6;-29;-43;-24;22;5;6;7;-16;10;1;7;25;-34;-9;32;35;15;12;-5;13;6;3;3;7;15;59;41;-29;31;-2;16;2;1;4;-4;16;9;6;4;-4;1;1;20.0
DUI X STP 28-02-2016;1;-4;7;4;9;11;8;16;10;6;4;1;3;-5;1.0;16;54;28;13;-40;-18;-33;1;-18;-5.0;-4;-6;-6;-3;-6.0;-2;6.0;3;1;28;-20;-30;-22;-7;26;25.0;17;-24;-66;-37;1;-22;-12;-38;-12;-15;12;2;5;4;44;2;27;22;15;25;-94;-46;-26;-14;30;8;8;4;2;-6;-5;10;4;27;46;27;14;6;8;-11;-11;-7;5;9;6;8;-6;25;5;-6;-30.0
KAI X MUN 01-03-2016;1;-1;2;-4;22;22;39;19;17;-44;-55;36;-34;-15;-4.0;50;32;24;19;31;45;21;27;12;-15.0;31;12;7;4;5.0;2;7.0;5;17;9;17;16;10;-39;-13;-5.0;2;2;4;5;21;1;-2;9;12;15;12;10;28;19;14;13;81;51;26;18;8;-3;3;2;13;15;6;-28;-9;-3;43;-58;-21;-16;-2;43;28;-9;19;13;4;3;3;3;44;28;18;23;-2;15;40.0
DUS X BOC 01-03-2016;-36;36;22;3;-30;-16;46;20;18;53;27;-21;88;48;58.0;32;15;-5;-4;6;-40;-27;-42;-15;-49.0;-29;-4;-2;-1;1.0;5;2.0;1;-25;-1;5;2;1;-16;-6;0.0;-9;-7;-5;4;-15;9;4;6;2;4;-2;39;21;31;12;-6;35;17;-11;-42;-100;-67;-100;-65;-100;-41;-3;-25;-11;30;13;-76;-36;-22;-16;-15;-4;30;-3;5;-21;-12;-7;-5;-9;-4;10;3;18;-6;10.0
KAR X SCP 01-03-2016;1;16;20;28;7;4;2;1;11;2;-30;5;-20;-41;-24.0;-13;6;1;-5;1;1;1;8;1;-30.0;-16;-8;6;1;3.0;2;2.0;1;5;11;7;25;15;9;10;;7;-5;6;-30;-20;-21;-12;-2;6;4;3;1;1;1;1;-9;-5;-2;-6;6;-10;-5;6;21;42;26;51;-20;6;61;38;22;5;3;-2;-1;6;26;3;37;22;13;13;13;5;8;-5;11;16;1;0.0
SAN X NUR 01-03-2016;6;-5;6;2;2;1;2;-5;-6;-8;-4;-5;-2;26;20.0;18;11;7;8;4;8;-5;1;-30;-22.0;-8;-90;-53;51;7.0;-45;-17.0;-15;-4;-13;-82;-15;-29;-17;-5;;7;2;-53;33;-2;8;-8;8;13;8;1;3;-8;-32;-17;6;-2;13;8;9;47;59;31;20;19;10;8;25;17;-18;13;15;3;-9;-6;11;-19;5;-8;31;22;13;-74;-37;-23;-13;-12;-5;4;1;-30.0
FUR X UNB 01-03-2016;-5;44;23;-34;-9;-9;-11;7;24;36;26;-5;10;5;-6.0;25;16;39;23;44;13;12;7;9;5.0;-1;-11;-66;-94;-61.0;-37;-26.0;-11;3;5;6;-12;-11;-8;-17;;-12;-8;-46;-48;79;-29;-19;-13;-1;4;-7;-39;-24;-11;-8;49;9;-7;-2;-23;-15;-11;-3;9;3;-7;31;9;1;38;21;31;6;-32;-20;-7;45;20;62;73;43;99;50;26;-21;-30;-29;-17;13;-31;30.0
ARM X SCF 02-03-2016;1;-43;-18;-4;-6;2;2;-20;-40;-23;-18;-2;46;27;24.0;45;27;18;36;27;19;12;-1;7;78.0;51;24;13;11;5.0;1;45.0;-77;-22;-30;-19;-87;-56;-29;-18;;-11;3;-23;-50;-14;-27;-19;-4;13;16;-53;-37;-5;33;58;49;45;65;55;42;69;78;40;19;12;5;12;27;13;4;-9;-6;-9;-23;-22;-90;-57;6;-37;26;4;4;4;-29;-16;26;10;7;-77;1;30.0
FSV X DUI 02-03-2016;26;2;-4;-1;-6;-25;-95;-57;-65;-39;34;20;12;6;5.0;-49;-28;-20;-40;-22;-8;7;6;7;7.0;35;22;19;-34;-32.0;-50;-28.0;36;8;14;15;32;-40;-8;16;;7;8;8;80;4;52;27;14;13;1;19;1;-41;-29;-93;75;-57;-39;-57;-31;-40;-21;78;3;-5;36;14;67;25;13;14;1;-16;-88;-61;-42;-30;8;-27;-10;-16;-9;5;4;42;85;85;55;4;32;-175.0
RBL X HEI 02-03-2016;1;2;-5;6;2;31;19;27;21;12;5;1;3;-40;-57.0;-39;-22;-13;30;17;30;13;5;12;30.0;18;9;5;13;50.0;30;17.0;45;3;26;2;6;38;-31;-10;30.0;-1;6;14;14;7;49;40;29;22;13;-30;-9;81;49;55;4;70;52;100;68;39;51;35;20;22;15;3;38;19;23;10;12;12;9;6;66;75;6;46;69;43;43;99;56;32;11;6;7;4;25;20.0
STP X EBR 03-03-2016;11;19;-37;-23;-45;-61;-36;-24;-44;-20;55;1;25;20;18.0;-46;-20;-7;40;49;32;23;-12;12;23.0;41;3;1;-1;5.0;30;18.0;10;-38;-6;-1;-27;-21;-13;-1;-50.0;-1;-5;5;-1;-19;-6;-3;-6;-4;-7;-6;-5;-39;-25;-16;29;-11;9;-12;-11;-3;-4;-4;-4;-3;-14;7;-10;-7;29;12;16;7;7;30;-42;-36;8;-53;-38;74;29;18;-22;-5;-14;29;-12;35;-2;-45.0
MUN X SAN 04-03-2016;1;-19;96;-95;-25;-12;-42;-26;-3;-1;-5;1;6;8;55.0;38;19;6;-5;6;6;4;-5;83;50.0;30;-20;1;-5;-2.0;1;6.0;4;-7;-20;-19;-10;-1;1;-5;-5.0;-1;32;19;8;-43;1;-39;-23;-7;32;12;-39;-15;17;-4;-25;7;3;75;41;37;24;7;-43;-32;-22;-19;-20;-54;-51;-97;-54;-29;-11;8;-8;-7;-16;-7;-1;-3;-3;-8;-37;-19;-13;-50;-26;-38;-20;-15.0
DUS X KAR 04-03-2016;-1;14;5;2;20;16;48;28;16;17;14;-1;5;7;3.0;-1;-1;-5;5;29;17;14;-1;3;-31.0;-25;-95;-52;-26;30.0;13;13.0;6;-6;2;-6;4;34;23;13;;7;-6;-4;-3;-2;5;-1;-1;-5;-4;-3;-23;-14;-14;-4;-4;-3;-1;-21;-8;-1;20;5;3;-56;-33;7;-27;-16;-10;-3;-2;-42;-60;-36;-22;70;4;35;23;18;20;1;5;32;48;27;16;4;8;-5.0
NUR X KAI 04-03-2016;-6;-39;30;3;2;10;25;42;35;15;13;20;81;45;-76.0;-24;-12;-41;-27;-28;-15;-12;9;-3;-4.0;3;2;43;27;18.0;18;12.0;11;-6;12;12;7;4;-30;-10;0.0;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;-6;1;1;1;1;1;1;1;1;1;1;-9;1;1;1;1;-40;-22;-12;-7;76;65;-65;39;0.0
UNB X FSV 05-03-2016;10;3;6;4;-5;-1;-1;6;-5;-1;1;5;1;1;-10.0;6;77;47;35;68;42;21;-40;89;54.0;-38;22;11;100;72.0;47;33.0;16;-26;43;22;15;15;11;52;5.0;37;29;24;20;-15;10;7;-59;-61;-35;-19;-10;-9;-2;7;-5;34;22;20;18;2;2;-4;-2;5;1;-3;-51;-29;-12;-13;25;8;4;2;1;-6;1;-3;-2;-6;-9;-30;-23;-19;-11;-6;-7;6;1;90.0
SCP X FUR 05-03-2016;1;60;41;18;-19;22;1;1;2;3;21;1;89;24;15.0;10;5;7;10;7;-29;-13;45;-2;2.0;-4;32;59;26;12.0;-44;-76.0;-71;27;-55;-40;-14;-12;17;-9;0.0;-7;-12;7;28;12;49;37;25;12;8;-3;-42;-47;43;6;18;-8;3;6;3;-3;-3;-23;-18;31;22;42;-30;-17;-44;-23;-13;41;-40;-37;-22;-17;52;-7;-1;32;-60;-63;-100;-96;-53;-22;-9;32;-5;0.0
HEI X STP 06-03-2016;2;1;-17;-11;-13;-5;3;4;5;6;6;-3;11;9;13.0;10;12;8;16;15;13;-36;2;-16;-46.0;-68;-36;-9;-5;5.0;10;6.0;33;46;20;62;37;17;33;-40;;-14;21;17;29;73;20;27;20;91;53;32;43;26;10;36;54;52;29;18;11;-7;4;3;5;36;31;44;61;100;72;-108;-36;-16;-23;-13;-1;-31;24;-25;60;25;59;36;61;31;12;3;3;18;1;40.0
EBR X DUI 06-03-2016;-1;14;39;24;14;-19;22;7;10;12;29;5;42;25;40.0;29;16;18;6;-35;-18;-5;3;-3;-1.0;2;2;1;-5;-1.0;11;21.0;23;8;14;9;-40;-41;-19;1;-25.0;-30;-17;-11;-2;6;-2;40;23;13;6;8;1;-1;-1;-76;4;-46;75;-31;-1;5;3;-32;-16;-9;-5;3;-12;-10;6;6;3;3;7;4;22;13;23;-20;21;33;18;11;8;44;-35;-5;16;14;1;10.0
BOC X ARM 06-03-2016;-6;-5;-7;-1;6;2;-5;6;7;9;6;-2;4;-5;-1.0;6;33;20;13;8;-5;41;-1;23;89.0;49;40;41;55;38.0;23;9.0;4;41;-15;-8;21;10;11;-20;;-5;-25;-95;-57;29;-32;30;7;30;17;-31;-8;35;16;9;13;12;42;22;18;10;-25;21;4;2;6;-35;16;33;-30;-5;-3;36;17;13;8;-75;-20;-43;-20;-16;-34;-19;-11;-11;-6;6;2;-9;41;70.0
SCF X RBL 07-03-2016;1;38;25;12;4;9;5;5;-3;2;3;-40;-3;8;45.0;23;20;13;13;46;34;16;-23;11;-39.0;-25;-14;-6;-2;-4.0;-4;7.0;13;-11;9;2;-4;-49;-33;2;0.0;-4;-9;-38;-26;-4;-38;-25;-14;6;5;10;-80;-77;-70;-11;-25;-6;-5;-5;-14;-10;6;-5;-1;75;45;-10;-35;-3;21;31;19;24;10;10;10;11;-3;51;61;66;44;66;36;19;-25;-8;-2;3;1;-45.0
ARM X NUR 11-03-2016;-1;6;91;59;30;18;10;-5;-3;-41;-44;-5;-21;41;16.0;7;-15;42;39;29;44;-39;6;-48;-8.0;-3;7;5;2;22.0;13;8.0;1;1;2;-4;-1;-4;-1;2;-20.0;-4;-4;3;28;1;14;1;-3;-2;-5;-8;40;55;37;27;1;16;-76;-43;-21;-13;-98;-53;-52;-76;-45;1;-20;-7;5;93;15;8;4;6;-2;-6;-5;-32;100;61;1;1;-10;-11;-12;-80;-47;-2;-27;-70.0
STP X SCP 11-03-2016;-5;-51;40;6;11;10;12;3;-2;-1;39;-3;20;41;53.0;35;11;-77;-44;-30;-19;-12;-7;-3;19.0;13;26;19;10;-41.0;-21;-14.0;-4;-4;5;4;-51;-23;45;-31;;-7;5;35;21;20;18;9;84;46;25;18;39;11;10;-57;39;-26;-14;-9;-2;1;19;9;9;9;4;-41;-2;-6;-40;-25;-16;-10;-2;1;6;8;-45;5;-75;-12;-47;-28;151;84;53;34;65;-32;23;80.0
FUR X EBR 11-03-2016;-1;4;-2;-2;-1;-1;39;46;21;-42;-32;-5;-23;-21;-8.0;39;56;27;-22;-3;-11;-10;-3;-5;-80.0;-47;-27;-20;-16;-3.0;26;9.0;-20;-2;-7;-8;-6;-3;6;3;-10.0;6;-40;41;10;4;10;49;31;14;7;3;-7;-5;4;74;-2;13;-21;-8;-46;-99;-52;-30;-19;-49;24;-2;-6;4;-1;-31;-24;-24;-10;-6;-2;40;-1;43;29;47;67;100;62;36;18;2;5;-1;4;
DUI X UNB 12-03-2016;5;-37;-23;29;13;66;40;28;18;4;-37;1;-23;-20;-13.0;-8;-13;-39;-23;-14;-4;70;-47;41;4.0;1;19;10;30;19.0;15;-41.0;-15;-28;-11;10;-1;-31;-12;25;;8;-12;34;16;-47;6;7;8;-2;-7;-15;-5;9;-7;-8;-35;-5;-85;-57;-30;-9;74;44;-27;-2;24;-27;86;50;30;12;-52;-29;-18;29;9;13;-13;46;26;17;9;4;-1;4;-7;-8;-16;-14;-5;25.0
SAN X DUS 12-03-2016;1;-3;5;2;6;-6;-1;-1;-1;40;53;61;31;38;17.0;-11;-4;-2;-3;-32;-14;-14;37;-9;-26.0;-19;19;33;13;8.0;4;5.0;-32;1;-18;-31;-20;-18;-9;-6;5.0;-7;-69;-42;-32;-51;-21;-14;-16;-12;-4;3;-28;-67;-47;-30;-34;-20;-42;-18;-13;-10;-8;-9;-3;8;21;-40;75;37;-33;-7;34;10;10;37;26;100;-29;79;50;26;14;58;53;80;36;15;3;-11;-2;65.0
FSV X SCF 13-03-2016;-5;6;43;-51;-21;-53;-27;-19;-8;-4;29;-7;-26;-5;5.0;51;34;22;14;13;-5;-74;-5;-43;-100.0;-100;-63;-31;-17;-31.0;-15;-14.0;-7;5;-8;-2;-5;-2;6;-10;;-43;-24;-9;-5;5;-6;11;16;-10;6;79;42;25;16;10;8;1;22;53;32;20;-60;-48;-31;-17;-4;4;2;28;16;5;3;-5;-3;6;2;-5;22;-41;-19;-11;-86;-45;-23;-14;-83;-23;41;12;11;-80.0
KAR X HEI 13-03-2016;1;7;5;36;22;14;39;29;25;11;7;21;8;11;7.0;5;4;3;3;8;6;-4;33;32;19.0;17;16;16;3;8.0;5;4.0;23;21;45;67;6;-4;-5;-9;;-7;5;1;5;13;33;24;13;-31;-13;-5;30;15;40;28;9;16;7;9;33;25;16;10;6;2;-5;34;-1;1;11;2;2;7;4;2;-5;1;25;41;19;17;51;36;19;52;46;45;32;10;21;15.0
RBL X MUN 13-03-2016;1;30;23;-41;-21;-23;-16;-5;65;33;5;4;2;-31;-27.0;-16;-14;-3;4;7;9;2;-6;3;43.0;87;53;29;49;33.0;17;12.0;-8;50;48;27;13;19;19;-38;20.0;-38;-15;9;4;23;10;-72;-29;-14;14;15;18;18;44;23;13;76;98;61;87;65;100;61;65;38;25;2;12;11;11;37;18;42;26;56;68;62;1;36;23;7;3;-9;-3;7;14;10;8;5;6;-20.0
KAI X BOC 14-03-2016;1;4;-7;-4;-3;-2;-3;-62;-3;-2;-12;-2;-13;-4;-16.0;-10;-1;-1;-1;19;24;17;-1;9;9.0;12;40;22;-32;-7.0;-1;-4.0;29;-2;16;2;-22;-13;-16;-11;;-7;-9;-46;-58;-2;39;1;-1;7;55;29;16;9;9;5;-2;37;46;36;25;19;22;10;14;12;7;4;83;49;29;22;13;2;16;19;11;-25;-2;-10;-7;31;15;11;6;24;12;12;12;-7;-80;-35.0
HEI X FSV 18-03-2016;1;13;12;7;-11;-5;-8;-25;-45;-26;30;-6;3;3;-76.0;-42;40;47;28;22;-21;7;-3;32;18.0;17;23;19;-19;-3.0;37;20.0;-14;-7;1;32;18;12;10;43;30.0;8;6;6;10;-9;-8;3;-18;-8;-3;43;-30;-1;6;-30;-5;-19;31;7;9;8;-5;-2;31;22;8;-3;5;-30;-17;-10;-80;-47;-25;-15;-13;6;40;1;71;42;25;15;4;-2;1;96;62;22;-5;15.0
