game;fixture;id;team_home;team_away;date;link;home_score;away_score
BLK X AUG 21-09-2016;4;7108400;BLK;AUG;21-09-2016;https://www.sofascore.com/pt/bayer-04-leverkusen-augsburg/acbsGdb;0;0
BAY X BCS 21-09-2016;4;7108650;BAY;BCS;21-09-2016;https://www.sofascore.com/pt/bayern-munchen-hertha-bsc/Dabsxdb;3;0
S04 X KOL 21-09-2016;4;7108300;S04;KOL;21-09-2016;https://www.sofascore.com/pt/1-fc-koln-fc-schalke-04/Fabswdb;1;3
RBL X BMG 21-09-2016;4;7108651;RBL;BMG;21-09-2016;https://www.sofascore.com/pt/rb-leipzig-borussia-mgladbach/CabskCo;1;1
SVW X MAI 21-09-2016;4;7108393;SVW;MAI;21-09-2016;https://www.sofascore.com/pt/1-fsv-mainz-05-werder-bremen/Jabsgbb;1;2
DOR X SCF 23-09-2016;5;7108301;DOR;SCF;23-09-2016;https://www.sofascore.com/pt/borussia-dortmund-freiburg/Nabsydb;3;1
MAI X BLK 24-09-2016;5;7108394;MAI;BLK;24-09-2016;https://www.sofascore.com/pt/bayer-04-leverkusen-1-fsv-mainz-05/gbbsGdb;2;3
AUG X D98 24-09-2016;5;7108304;AUG;D98;24-09-2016;https://www.sofascore.com/pt/augsburg-darmstadt-98/Bbbsacb;1;0
BMG X ING 24-09-2016;5;7108408;BMG;ING;24-09-2016;https://www.sofascore.com/pt/ingolstadt-borussia-mgladbach/CabsFrc;2;0
SGE X BCS 24-09-2016;5;7108396;SGE;BCS;24-09-2016;https://www.sofascore.com/pt/eintracht-frankfurt-hertha-bsc/Dabszdb;3;3
HSV X BAY 24-09-2016;5;7108382;HSV;BAY;24-09-2016;https://www.sofascore.com/pt/hamburger-sv-bayern-munchen/xdbsBdb;0;1
SVW X WOB 24-09-2016;5;7108653;SVW;WOB;24-09-2016;https://www.sofascore.com/pt/werder-bremen-wolfsburg/zabsJab;2;1
TSG X S04 25-09-2016;5;7108374;TSG;S04;25-09-2016;https://www.sofascore.com/pt/1899-hoffenheim-fc-schalke-04/Fabsubb;2;1
KOL X RBL 25-09-2016;5;7108652;KOL;RBL;25-09-2016;https://www.sofascore.com/pt/rb-leipzig-1-fc-koln/wdbskCo;1;1
RBL X AUG 30-09-2016;6;7108654;RBL;AUG;30-09-2016;https://www.sofascore.com/pt/rb-leipzig-augsburg/acbskCo;2;1
BAY X KOL 01-10-2016;6;7108398;BAY;KOL;01-10-2016;https://www.sofascore.com/pt/bayern-munchen-1-fc-koln/wdbsxdb;1;1
D98 X SVW 01-10-2016;6;7108308;D98;SVW;01-10-2016;https://www.sofascore.com/pt/darmstadt-98-werder-bremen/JabsBbb;2;2
SCF X SGE 01-10-2016;6;7108455;SCF;SGE;01-10-2016;https://www.sofascore.com/pt/eintracht-frankfurt-freiburg/Nabszdb;1;0
BCS X HSV 01-10-2016;6;7108449;BCS;HSV;01-10-2016;https://www.sofascore.com/pt/hamburger-sv-hertha-bsc/DabsBdb;2;0
ING X TSG 01-10-2016;6;7108383;ING;TSG;01-10-2016;https://www.sofascore.com/pt/ingolstadt-1899-hoffenheim/ubbsFrc;1;2
BLK X DOR 01-10-2016;6;7108306;BLK;DOR;01-10-2016;https://www.sofascore.com/pt/bayer-04-leverkusen-borussia-dortmund/ydbsGdb;2;0
WOB X MAI 02-10-2016;6;7108378;WOB;MAI;02-10-2016;https://www.sofascore.com/pt/1-fsv-mainz-05-wolfsburg/zabsgbb;0;0
S04 X BMG 02-10-2016;6;7108470;S04;BMG;02-10-2016;https://www.sofascore.com/pt/fc-schalke-04-borussia-mgladbach/CabsFab;4;0
DOR X BCS 14-10-2016;7;7108379;DOR;BCS;14-10-2016;https://www.sofascore.com/pt/borussia-dortmund-hertha-bsc/Dabsydb;1;1
KOL X ING 15-10-2016;7;7108377;KOL;ING;15-10-2016;https://www.sofascore.com/pt/ingolstadt-1-fc-koln/wdbsFrc;2;1
